"","trial","opt1","opt2","feature","obs"
"1",1,2,3,2,-0.19549779968725
"2",2,1,3,1,-0.312586456291471
"3",3,2,3,1,0.0476941115335278
"4",4,2,3,1,0.979139980570985
"5",5,1,3,1,-0.829111316453098
"6",6,1,2,2,1.63188679690762
"7",7,2,3,1,-0.0771475764166173
"8",8,2,3,2,-0.473422258133673
"9",9,1,2,1,-1.93990887368923
"10",10,2,3,2,0.522221650206524
"11",1,1,2,1,-1.68603048368737
"12",2,2,3,1,0.420435952629768
"13",3,2,3,2,-0.0627701161561981
"14",4,1,2,2,1.53906081489133
"15",5,2,3,2,0.0768075540329132
"16",6,1,3,1,0.0273543737494226
"17",7,1,2,2,1.13458200637751
"18",8,2,3,1,0.385377628824958
"19",9,2,3,1,1.71714096718373
"20",10,1,2,1,-1.05420225328498
"21",1,2,3,1,1.51746380476929
"22",2,2,3,2,0.912897675652933
"23",3,1,3,1,-0.272592021187414
"24",4,1,3,1,0.0411864696979986
"25",5,2,3,1,0.282896431816868
"26",6,1,3,2,0.595730642522099
"27",7,1,3,1,-1.45905641502433
"28",8,1,3,2,-0.223568529197143
"29",9,2,3,2,-0.827405416081885
"30",10,2,3,1,-0.495558675824938
"31",1,1,2,2,1.58321099784092
"32",2,1,2,2,0.969453951357603
"33",3,1,3,2,0.311851210080605
"34",4,1,3,2,-0.54907223310002
"35",5,1,2,2,1.00865472678699
"36",6,1,2,1,-1.29314885186952
"37",7,2,3,2,-0.702131109683495
"38",8,1,3,1,-0.455476547217024
"39",9,1,2,2,0.626882676636053
"40",10,2,3,1,0.0195440556803529
"41",2,1,2,1,-1.73107535779791
"42",3,1,2,2,1.99636733587525
"43",4,1,3,2,-0.622487464257841
"44",5,1,2,1,-1.1995321680253
"45",6,1,3,2,-0.311254581006998
"46",8,2,3,2,-0.554426257848743
"47",9,2,3,1,1.60853996049309
"48",10,1,2,2,0.727604404190242
"49",2,1,2,1,-0.631720770671582
"50",4,1,3,1,0.335861304996283
"51",5,1,2,2,2.00665807117447
"52",6,1,3,1,-0.466594462257235
"53",7,1,3,2,1.21571939696364
"54",8,2,3,1,0.634160463587935
"55",10,1,2,1,-0.943447907520803
"56",2,1,3,2,0.990939270008911
"57",4,1,3,1,0.379796568505933
"58",5,1,3,2,0.272708923348013
"59",6,2,3,2,-0.564921349944744
"60",7,1,3,1,-1.64903907517654
"61",8,2,3,2,-0.163151215939981
"62",9,2,3,2,-0.566894478105216
"63",10,2,3,2,0.239054421825341
