"","timestep","trial","opt1","opt2","feature","obs"
"1",1,1,2,3,2,-0.71191524437149
"2",1,2,2,3,2,0.184908331983866
"3",1,3,1,3,1,0.779094305087241
"4",1,4,1,3,1,0.518516482822686
"5",1,5,2,3,1,0.394099178293457
"6",1,6,2,3,1,0.270722239276979
"7",1,7,2,3,2,-0.161142198341596
"8",1,8,1,2,1,-0.950104280696058
"9",1,9,1,2,2,1.06206044761384
"10",1,10,2,3,1,1.02139613818415
"11",2,1,1,3,1,-0.178044073295431
"12",2,2,2,3,1,0.15777950827744
"13",2,3,1,2,2,1.58326728310887
"14",2,4,1,2,2,0.987862096927785
"15",2,5,1,2,2,1.00811934628244
"16",2,6,2,3,2,-1.13744547522502
"17",2,7,1,3,1,-1.37144816514356
"18",2,8,2,3,2,-1.29746209667547
"19",2,9,1,3,1,-0.284786181897266
"20",2,10,1,2,2,0.766238474951234
"21",3,1,1,2,1,-1.12930289327175
"22",3,2,1,3,2,1.05467087070711
"23",3,3,1,3,2,0.438162871238216
"24",3,4,1,3,2,1.4254077849386
"25",3,5,1,3,1,-0.827079237683422
"26",3,6,1,3,1,0.0110490868395366
"27",3,7,1,2,1,-1.51959374485794
"28",3,9,2,3,2,-0.138392320663272
"29",3,10,1,2,1,-1.934335841379
"30",4,1,1,3,2,0.364269337505004
"31",4,2,1,2,1,-1.5009890562935
"32",4,3,1,2,1,-1.57836448656447
"33",4,4,1,2,1,-1.3875429351085
"34",4,5,2,3,2,-0.886740943736096
"35",4,6,1,3,2,-0.363979964651423
"36",4,7,2,3,1,0.194044853851639
"37",4,9,1,2,1,-0.918451570525235
"38",4,10,1,3,2,1.53001513051438
"39",5,2,2,3,1,0.874146426468775
"40",5,3,1,2,1,-1.78455243286952
"41",5,4,1,2,1,-1.04504477454158
"42",5,5,1,3,2,2.32893431199962
"43",5,6,1,2,2,1.2566779510078
"44",5,7,2,3,2,0.0706871704765563
"45",5,8,1,3,2,0.982498176582509
"46",5,9,1,2,2,0.614902242548733
"47",6,2,1,2,2,-0.135918850889966
"48",6,3,1,2,2,0.719315199814021
"49",6,4,1,2,2,1.33047457341971
"50",6,5,1,3,1,-0.0693858267270534
"51",6,6,1,3,1,-0.0560965392296973
"52",6,7,2,3,1,0.054776796331362
"53",6,8,1,3,1,-0.654595060744697
"54",6,9,1,2,1,-1.12310305104721
"55",6,10,1,2,1,-0.519252923436
"56",7,2,2,3,2,0.652610250050371
"57",7,3,2,3,1,0.796645454602025
"58",7,4,1,2,2,1.73213670844782
"59",7,5,1,2,2,0.575162573008875
"60",7,6,1,3,2,-0.190608581131959
"61",7,7,2,3,2,0.553949597600738
"62",7,8,1,3,2,-0.13641245438508
"63",7,9,1,2,2,1.51338961375836
"64",7,10,1,3,2,1.02009584644032
