"","timestep","trial","option","feature","obs"
"1",1,1,2,2,-0.91191524437149
"2",1,2,3,1,0.784908331983866
"3",2,1,3,2,-0.578044073295431
"4",2,6,1,1,-0.337445475225019
"5",2,8,2,2,-1.79746209667547
"6",3,1,1,2,-0.129302893271747
"7",3,2,1,1,-0.145329129292889
"8",3,6,3,1,-0.388950913160463
"9",4,1,3,1,-0.0357306624949961
"10",4,2,2,1,0.499010943706497
"11",4,4,3,1,-0.187542935108497
"12",4,5,1,2,-0.686740943736096
"13",5,1,1,1,-0.118999280012646
"14",5,4,1,1,-0.0450447745415788
"15",5,6,2,1,1.2566779510078
"16",6,2,1,2,-1.13591885088997
"17",6,8,3,1,0.345404939255303
"18",7,4,2,1,1.73213670844782
"19",7,5,2,2,-1.42483742699112
"20",7,8,1,1,-0.63641245438508
